Back to ToC,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Reference_ID,Value,Organization Subtype,Location Name,Location ID,Superior Organization Name,Superior_Organization_ID,Comments,Sup Org Manager,Inactive
11016692,,,,,,,,,,NEW11016692,Office of Vice-Chancellor-Vice-Chancellor and President,University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW11016692,,,
11098694,,,,,,,,,,NEW11098694,Office of Vice-Chancellor-Executive Assistant to VC,University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW11016692,,,
13013652,,,,,,,,,,NEW13013652,Office of Vice-Chancellor-Senior Manager,University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW11016692,,,
13019729,,,,,,,,,,NEW13019729,Office of Vice-Chancellor-DVC (External Relations),University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW11016692,,,
13020564,,,,,,,,,,NEW13020564,Office of Vice-Chancellor-Executive Admin Consultant,University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW11016692,,,
13027029,,,,,,,,,,NEW13027029,Office of Vice-Chancellor-Exec Administrative Officer,University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW13013652,,,
13028430,,,,,,,,,,NEW13028430,Office of Vice-Chancellor-Unpaid Functional Reports To,University,St Lucia Campus,S01,Office of Vice-Chancellor,NEW13028430,,,
7,,,,,,,,,,SUP00000001,Office of Provost-Provost,Senior Executive,St Lucia Campus,S01,Office of Provost,NEW11016692,,,
73015461,,,,,,,,,,NEW73015461,Office of Provost-Administrative Manager,Senior Executive,St Lucia Campus,S01,Office of Provost,NEW73017427,,,
73017427,,,,,,,,,,NEW73017427,Office of Provost-Executive Officer,Senior Executive,St Lucia Campus,S01,Office of Provost,SUP00000001,,,
73028433,,,,,,,,,,NEW73028433,Office of Provost-Unpaid Functional Reports To,Senior Executive,St Lucia Campus,S01,Office of Provost,SUP00000001,,,
93019550,,,,,,,,,,NEW93019550,UQ Library-Executive Manager,Division,St Lucia Campus,S01,UQ Library,SUP00000009,,,
32,,,,,,,,,,SUP00000009,Library Corporate Service-Director of Central Area,Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,SUP00000001,,,
321260741,,,,,,,,,,NEW321260741,Library Corporate Service-Deputy Director (Operations),Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,SUP00000009,,,
321260956,,,,,,,,,,NEW321260956,"Library Corporate Service-Manager, Marketing & Communica",Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,SUP00000009,,,
323000131,,,,,,,,,,NEW323000131,Library Corporate Service-Manager Fryer Library,Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,SUP00000009,,,
323005237,,,,,,,,,,NEW323005237,Library Corporate Service-Senior Librarian,Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,NEW323000131,,,
323019225,,,,,,,,,,NEW323019225,Library Corporate Service-Manager Corporate Services,Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,SUP00000009,,,
323028435,,,,,,,,,,NEW323028435,Library Corporate Service-Unpaid Functional Reports To,Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,SUP00000009,,,
323034409,,,,,,,,,,NEW323034409,Library Corporate Service-Public Copy Facilities Officer,Branch/Directorate,St Lucia Campus,S01,Library Corporate Service,NEW323019225,,,
511154396,,,,,,,,,,NEW511154396,Office of COO-Director of Central Area,Senior Executive,St Lucia Campus,S01,Office of COO,SUP00000001,,,
511219873,,,,,,,,,,NEW511219873,Office of COO-Senior Administrative Officer,Senior Executive,St Lucia Campus,S01,Office of COO,SUP00000001,,,
51,,,,,,,,,,SUP00000001,Office of COO-Chief Operating Officer,Senior Executive,St Lucia Campus,S01,Office of COO,NEW11016692,,,
513020636,,,,,,,,,,NEW513020636,"Office of COO-Manager, Admin Improvement Pro",Senior Executive,St Lucia Campus,S01,Office of COO,SUP00000001,,,
513024084,,,,,,,,,,NEW513024084,Office of COO-Office Manager,Senior Executive,St Lucia Campus,S01,Office of COO,NEW511219873,,,
513039293,,,,,,,,,,NEW513039293,Office of COO-Director of Central Area,Senior Executive,St Lucia Campus,S01,Office of COO,SUP00000001,,,
513046389,,,,,,,,,,NEW513046389,Office of COO-Director of Central Area,Senior Executive,St Lucia Campus,S01,Office of COO,SUP00000001,,,
541120843,,,,,,,,,,NEW541120843,Legal Services-Senior Manager,Branch/Directorate,St Lucia Campus,S01,Legal Services,SUP000000051,,,
54,,,,,,,,,,SUP000000051,Legal Services-Director of Central Area,Branch/Directorate,St Lucia Campus,S01,Legal Services,SUP00000001,,,
543038567,,,,,,,,,,NEW543038567,Legal Services-Associate Director,Branch/Directorate,St Lucia Campus,S01,Legal Services,SUP000000051,,,
543040703,,,,,,,,,,NEW543040703,Legal Services-Senior Legal Counsel,Branch/Directorate,St Lucia Campus,S01,Legal Services,NEW543038567,,,
543041936,,,,,,,,,,NEW543041936,Legal Services-Practice Manager,Branch/Directorate,St Lucia Campus,S01,Legal Services,SUP000000051,,,
551183387,,,,,,,,,,NEW551183387,Academic Services Div-Admin and Business Manager,Division,St Lucia Campus,S01,Academic Services Div,SUP0000000578,,,
55,,,,,,,,,,SUP0000000578,Academic Services Div-Director of Central Area,Division,St Lucia Campus,S01,Academic Services Div,SUP00000001,,,
58,,,,,,,,,,SUP000000055,Academic Services Dir-Director (Central Serv & Div),Branch/Directorate,St Lucia Campus,S01,Academic Services Dir,SUP000000055,,,
58,,,,,,,,,,SUP000000055,Academic Services Dir-Director (Central Serv & Div),Branch/Directorate,St Lucia Campus,S01,Academic Services Dir,SUP0000000578,,,
58,,,,,,,,,,SUP000000055,Academic Services Dir-Director (Central Serv & Div),Branch/Directorate,St Lucia Campus,S01,Academic Services Dir,SUP000000055,,,
89,,,,,,,,,,SUP000000051,Finance Business Services-Director of Central Area,Division,St Lucia Campus,S01,Finance Business Services,SUP00000001,,,
893033426,,,,,,,,,,NEW893033426,Finance Business Services-Unpaid Functional Reports To,Division,St Lucia Campus,S01,Finance Business Services,SUP000000051,,,
893040926,,,,,,,,,,NEW893040926,Finance Business Services-Associate Director,Division,St Lucia Campus,S01,Finance Business Services,SUP000000051,,,
